smile,tg_min,tg_max,tg_mean,VR3_A,AATS3v,AATS3are,AATS6are,AATS3i,ATSC7d,ATSC7v,ATSC3i,MATS1dv,MATS2d,MATS3d,MATS4d,MATS8d,MATS3s,MATS4are,MATS5p,MATS6p,MATS7p,GATS5d,GATS2s,GATS4m,GATS5v,GATS1are,GATS7are,GATS3p,GATS5i,BCUTd-1l,BCUTs-1l,BCUTi-1h,NssCH2,SdO,ETA_shape_y,AETA_beta_ns_d,ETA_dAlpha_B,CIC5,PEOE_VSA1,PEOE_VSA8,SMR_VSA3,SlogP_VSA2,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,MID_N,n6ARing,RotRatio,JGI3,JGI4,JGI6,JGI7,c1cc(Cl)ccc1Cl,C1CC(=O)NC1=O,c1cc(C)cc2ccccc12,c1cccc(P(=O)(c2ccccc2)c2ccccc2)c1,N1C(=O)CC(C2C=C(C)C3C(=O)NC(=O)C3C2)C1=O,C1CCCCC1,OC=O,N1C(=O)N(C=O)C(=O)C1,CCCCCCC,N1C(=O)C2ON(C)CC2C1=O,c1ccccc1C,c1cccc(S(=O)(=O)O[Na])c1,C(C)(C)CCCCCCCCC(C)C,C(F)(F)F,N1C(=O)c2cc(Cl)c(C=O)cc2C1=O,N1C(=O)CCC1=O,CCCCCCCCCCCCCC,c1ccc2c(c1)Sc1ccccc1S2,C1CC(C)CC(C)(C)C1,c1ccc2c(c1)Cc1ccccc1-2,c1ccc([Si](C)(C)c2ccc3c(c2)C(=O)NC3=O)cc1,c1cc2c(cc1C)-c1cc(C)ccc1S2(=O)=O,c1ccccn1,n1c(=O)c2cc3c(=O)n(C)c(=O)c3cc2c1=O,c1ccc(C2(c3ccccc3)NC(=O)c3ccccc32)cc1,N1C(=O)NC(C)(C)C1=O,CC(C)CCCC,C1CC(C)(C)CC(C)(C)C1,N,c1cc2ccccc2c2c1C(=O)NC2=O,c1nc2ccccc2o1,N1C(=O)c2cccc3cccc(c23)C1=O,CCC[Si](C)(C)O[Si](C)(C)CCC,N1C(=O)C2C3C=CC(O3)C2C1=O,N1C(=O)c2ccc([Si](C)(C)c3ccc4c(c3)C(=O)NC4=O)cc2C1=O,N1C(=O)C2CCC(C3CCC4C(=O)NC(=O)C4C3)CC2C1=O,CCCCCCCCC,CCCCC,c1cccc(P(=O)(c2ccccc2)c2cc(C)cc(C)c2)c1,C1OCCO1,CCCCCCCCCCC,c1c(C)cc(C)cc1C,c1ccc2c(c1)-c1ccccc1C2,C=O,CCC,CCCCCCCCCCCC,N1C(=O)c2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)NC4=O)cc2C1=O,C(=O)CCCCCCCCCC,c1nnco1,CCCC,c1cc2ccccc2o1,c1ccc(O)cc1,c1cnc(C#N)c(C#N)n1,C(C#N)S(C)(=O)=O,c1ccc2[nH]cnc2c1,c1ccc2c3c(cccc13)C(=O)N(C)C2=O,c1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccccc21,c1ncncn1,C(C)(C)CCCCC(C)C,CC#C,N1C(=O)c2cc3c(cc2C1=O)C(C)(C)c1cc2c(cc1O3)C(=O)NC2=O,CCCCCCCCCC,c1cnc2cc(S(=O)(=O)c3ccc4nccnc4c3)ccc2n1,N1C(=O)C2OC3C(=O)NC(=O)C3C2C1=O,c1ccc2c(C)cc(=O)oc2c1,C(=O)CCCCC,c1ccc(C)cc1C,C1CCCCCCCCCCC1,C,c1c(C)cccc1C,c1ccc2c(c1)C(=O)N(N1C(=O)c3ccccc3C1=O)C2=O,CCCCCCCC,c1nc2ccccc2[nH]1,CCCC#N,c1ccc(C)c(C)c1,c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1,c1cccc(P(=O)(c2ccc(C)cc2)c2ccccc2)c1,c1ccc2c(c1)C(=O)N(C)C2=O,c1sccc1,c1cnc2ccccc2n1,c1ccc(N=Nc2ccc(N)cc2)cc1,O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,N1C(=O)N(C=O)C(=O)C1(C)C,c1ccc2ocnc2c1,C(=O)C1=C(C)NC(=S)N(C=O)C1,O[Si](C)(C)C,CCCCCC,c1cccc2c1C(=O)NC2=O,N1C(=O)NC(=O)C1=O,c1ccc2ncoc2c1,CC#N,CC(C)CCC,c1c(C)c(C)cc(C)c1C,c1nc2ccccc2oc1=O,CO,C1CC2CCC1C2,C12CC3CC(CC(C3)C1)C2,c1nc2cc(C)ccc2[nH]1,n1ncc2ccccc2c1=O,CC(C)CCCCCCCCCCCC,N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)NC4=O)cc2C1=O,c1cccc(O)c1,c1cc(C)cc(C)c1,c1cccc(C)c1,c1ccc(N=Nc2ccc(C)cc2)cc1,c1ccc(N=Nc2ccc(C#N)cc2)cc1,c1cccc(S(=O)(=O)c2ccccc2)c1,c1c[nH]cn1,c1ccc(C2NC(=O)c3ccccc32)cc1,C(=O)CC,CC(C)(C)C,CC,N1C(=O)c2ccc(C#Cc3ccccc3)cc2C1=O,c1ccc(N=Nc2ccccc2)cc1,ON1C(=O)c2ccccc2C1=O,n1c(=O)c2cc3c(=O)[nH]c(=O)c3cc2c1=O,c1cc2c(cc1)C(=O)NC2=O
O=COCCN(CCOC(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O)c1ccc(/N=N/c2ccc(F)cc2)cc1,168.0,168.0,168.0,0.328574072855043,0.5461977284054799,0.5507107844711485,0.441638560496119,0.5480452737256396,0.4888645252196553,0.5263939417891972,0.63629697441899,0.4966451978941112,0.4460956933298379,0.3343690946349317,0.5201516471816323,0.6133053555142381,0.4190846035367686,0.1931867558958048,0.8590540536629766,0.428793687538236,0.5208900860633577,0.302753869689917,0.6328513277627112,0.5442492111025499,0.3129189688203566,0.1595762725681555,0.2704000092374103,0.3219501387798616,0.0136212173204925,0.6998999878968775,0.9595534332328944,0.994682283350672,0.1176470588235294,0.248754311598308,0.4660144694228648,0.4592592592592592,0.5561865101899186,0.0971956624725447,0.2763733663539523,0.0663741408747417,0.0,0.5454311488596393,0.0843774266140915,0.4005719218741841,0.2222222222222223,0.0161543463346442,0.387195575398276,0.0,0.4048143486469476,0.3164800047372305,0.2652753557968149,0.2402707060576073,0.3258573608111731,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
O=COCCCCCCCCCCCCOC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,105.0,105.0,105.0,0.4442268517689023,0.3117840402352468,0.2602741062408715,0.2716758085335167,0.5782377501396034,0.5818325946971874,0.5507009166034617,0.6617573299850703,0.6613834368366507,0.7169387337972969,0.6629578791977782,0.6831350949290854,0.6844438674714343,0.6440033958517177,0.3580302585991625,0.8335617426652944,0.4160372144522863,0.5737968598994453,0.2784056285841938,0.483774029161089,0.3653879875665802,0.2969341435174084,0.2098222797690772,0.1365086142956666,0.301293495680958,0.1710126453276416,0.7000485756100812,0.896595602051341,0.0010873101031751,0.3529411764705882,0.237861196690803,0.2855743404381655,0.1169811320754712,0.4704766802738603,0.3999305394927646,0.2732383358174856,0.0,0.0,0.4113304940492909,0.2982649332050309,0.2248770122725136,0.3333333333333335,0.0,0.0323159552513999,0.0,0.6655346021136694,0.3437859050042484,0.3202827623708543,0.2500078015919313,0.290611225131587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2c1,246.0,246.0,246.0,0.1638546129156775,0.6916866527465754,0.5643996223263517,0.4710637115898821,0.2580342579937946,0.5623411145782072,0.5302407339865095,0.5822517858628926,0.4525061228494149,0.3487316010273806,0.2121434616240026,0.3396749253194483,0.641960412470687,0.3964945298801097,0.1953723221507634,0.8207655596902392,0.3105768598817184,0.5392468677791816,0.4024117857236268,0.5850251699127749,0.555525657597429,0.3715036567657837,0.2132380330235795,0.1352622685437113,0.3705644572403571,0.1650154939177807,0.7001112255250241,0.99618340346298,0.0010868869998645,0.0,0.2435614739272174,0.6094124830985305,0.3647058823529409,0.488926746166951,0.1819644822545367,0.2732383358174856,0.0,0.0,0.2759568998700706,0.0827366348490955,0.1092468877838684,0.5000000000000003,0.0,0.0323286894147796,0.0,0.2197434951498448,0.3591980781211047,0.5754998292803241,0.3393090712792502,0.3957865532889193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,140.0,140.0,140.0,0.6609805425030476,0.3834730474242401,0.316790190612608,0.2569452268014194,0.4993727546575455,0.6010002557714668,0.6002706768756539,0.6352151505396947,0.5238199876864038,0.5601435970308855,0.542118023014478,0.629126961754484,0.6662272812601833,0.6600420487139582,0.2872702916708017,0.820203067102142,0.4932420130152333,0.5954265741825713,0.2079593282773392,0.5562977828759075,0.516049149004846,0.3092050156393875,0.2062972878556777,0.1510565715876725,0.3745744179824605,0.1990496165134595,0.6992838546256746,0.0223008890357757,0.0010944744319338,0.3529411764705882,0.3980197546408712,0.2382560039897475,0.3594202898550727,0.3968101128311497,0.4087202216794188,0.3643177810899808,0.0,0.0,0.4975699212829227,0.259625568042109,0.5932887960219265,0.3333333333333335,0.0,0.0321685520683713,0.0,0.6068778775131662,0.2744268438940535,0.320627152437919,0.2508338599428531,0.4049360208383785,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,125.0,125.0,125.0,0.647218856034478,0.3423585514322652,0.2578220793932497,0.2309076939394927,0.5126365140797606,0.560993339326672,0.5458773747556127,0.6343871302849664,0.6348183419192692,0.5581637494096715,0.5790416862305057,0.6344617059598057,0.6459338263293678,0.6231623476108077,0.3940226225360385,0.8371590293080591,0.4443969657664499,0.5706199534685649,0.2762173853331892,0.5144131017599607,0.3971946685807379,0.2927251536989266,0.2309292795499438,0.1332766747178249,0.3248573079842803,0.199946225747346,0.7000311236890582,0.8965952244205957,0.0010923291561937,0.3823529411764705,0.2448654184170964,0.2698689104553821,0.3701492537313434,0.4086551908261097,0.4087202216794188,0.3643177810899808,0.0,0.0,0.4113304940492909,0.2585695519100797,0.3699206711152026,0.4444444444444448,0.08,0.0323263099998324,0.0,0.6261034476893508,0.1910615871248496,0.3586753670473085,0.2034157111729999,0.2567214830010887,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc4)cc2)C3=O)cc1,230.0,230.0,230.0,0.211280190423465,0.6469998155073725,0.6063731688196374,0.4099313145691114,0.3260800934864623,0.5971970296425547,0.541020908554369,0.5915908505706746,0.4619632607602478,0.3466534709655465,0.2449059601613723,0.2968875732051433,0.6055792230652877,0.3744523944784846,0.0846269103125254,0.7954098090153615,0.247583233313714,0.5356681500551143,0.4011221566977322,0.6279200049786708,0.6012567586585582,0.4173449454953764,0.252765580068055,0.0493420807763391,0.3570478070315498,0.1562758598226709,0.7000963021167035,0.9983748062879376,0.001088554334383,0.0,0.2399793803717463,0.5366709400231092,0.4592592592592592,0.5070351441731349,0.2384201293129944,0.3643177810899808,0.0,0.0,0.2759568998700706,0.0533913968430339,0.2549094048290263,0.4444444444444448,0.0,0.0323234142935843,0.0,0.2808653756873586,0.3183785857765138,0.5504449058282678,0.3412766340919057,0.4106701049532775,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc2)C3=O)cc1,215.0,215.0,215.0,0.1539793335396508,0.6733123755126705,0.6128230240151775,0.4656041745658439,0.3088817350312105,0.5744218220920065,0.5230683422441547,0.586366238140391,0.4536509509248956,0.3816366736709287,0.2152627459110808,0.3098171079754781,0.5948689721718263,0.3864749708764114,0.1046363108367403,0.8264746653733728,0.2808462174514348,0.5346433048168643,0.4169996236114169,0.6198759316177069,0.5837703494516671,0.3899381010982259,0.2298198915833669,0.0277718398630765,0.3724557834875869,0.1395068662062468,0.7001262088017057,0.9983748066879364,0.0010856647589791,0.0,0.2386319839578113,0.5824561642196638,0.3957446808510632,0.5305375330747779,0.1982598090235992,0.2732383358174856,0.0,0.0,0.2759568998700706,0.0533913968430339,0.2549094048290263,0.3333333333333335,0.0,0.0323257372052359,0.0,0.2503295059192325,0.38958385055785,0.5626803864976792,0.327025274820616,0.4364521195205723,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,212.0,212.0,212.0,0.1611354168109622,0.6735950578591797,0.5347018374983885,0.4532508126399723,0.2678823171720372,0.5685649122134241,0.5104830710336128,0.583019312565692,0.4613054519383047,0.425500192934732,0.2805708960665475,0.3258700507074185,0.6890325989062743,0.4288732249886001,0.1897549229594625,0.7826862194383969,0.2880452854196439,0.5401118997266915,0.4408017668637768,0.6069504242468584,0.5066670695038071,0.3500463467864214,0.2090986351610652,0.1446147571591472,0.3631080935647374,0.1735147316410016,0.7001021281177362,0.9983643185574544,0.0010874730902017,0.0,0.2475556559768405,0.5541230441077364,0.350943396226415,0.4704766802738589,0.1725117818776761,0.2732383358174856,0.0649277708995129,0.0,0.2759568998700706,0.0533913968430339,0.1820781463064473,0.3611111111111112,0.1,0.0323307361783902,0.0,0.2481120201384519,0.3503355611603889,0.4615575572735652,0.3115733075227034,0.3075819260569916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=COc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccccc7C6=O)cc5)cc3)C4=O)cc2)cc1,232.0,232.0,232.0,0.2038909307442361,0.6687419069466535,0.5331835420494326,0.4031761509669653,0.2678936951944237,0.562597213505311,0.5421142675357582,0.5832269428833413,0.4566479349903041,0.3326026069060837,0.1956693978656447,0.3317092526059008,0.5928678842172069,0.4246454790545095,0.1727807458913335,0.7558146115554817,0.3204407396316936,0.5577972264676585,0.3448246814728124,0.5983467624379974,0.5824541067925841,0.4392412494810442,0.2090986351610654,0.1372585993342233,0.3664952160058313,0.196337728919003,0.7001016866207017,0.9983747870169204,0.0010874729877192,0.0,0.2426690798301182,0.5541230441077364,0.350943396226415,0.4704766802738589,0.2070141382532117,0.2732383358174856,0.0,0.0,0.2759568998700706,0.1140130128985213,0.1092468877838684,0.555555555555556,0.0,0.0323268532603838,0.0,0.2481120201384519,0.3183785857765138,0.4591502298680133,0.3383886667131525,0.3563059741371511,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=CNc1cccc(S(=O)(=O)c2cccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5sc(-c6ccc(N7C(=O)c8ccccc8C7=O)cc6)c(-c6ccccc6)c5-c5ccccc5)cc3)C4=O)c2)c1,320.0,320.0,320.0,0.2459406817366616,0.7093651066897068,0.3700992818382764,0.3329181865764106,0.1800847196171142,0.5498232788006944,0.3501006207298137,0.6080935600076208,0.3093727840311926,0.4725180598644581,0.4635887536591558,0.4273141601829799,0.8456886087637138,0.5181608637892798,0.3066454153610382,0.664727277667755,0.2142754425202849,0.4597639254751398,0.5822282080318825,0.6364863544071573,0.6483601944649282,0.356429126564517,0.1428808238365909,0.1142670298699549,0.37993048181007,0.2060790669866189,0.6992865452441617,0.0222995297585702,0.0015476520409061,0.0,0.4137219699658496,0.4583885062346907,0.1722222222222213,0.2173007760742004,0.2049908519225485,0.2044602773637524,0.4413682284542441,0.0,0.3609233877348301,0.2617039136262116,0.3935698269669385,0.3019109238326029,0.2400000000000001,0.2562665808579435,0.0,0.2395125021105466,0.3604108665607216,0.5030126632788375,0.1070539274024791,0.0994460010574355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O=CNc1cccc(P(=O)(c2ccccc2)c2cccc(NC(=O)c3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5ccccc5)c5cccc(N6C(=O)c7ccccc7C6=O)c5)c3)C4=O)c2)c1,150.0,262.0,187.3333333,0.2074696058638289,0.6931968220344887,0.3355318834199754,0.2906876638036442,0.1953223309016349,0.5099048042324195,0.508949205746058,0.5323061671208567,0.2489049774311233,0.4350019546113159,0.3957859824142643,0.4254446438695224,0.588454540902449,0.5582736799938574,0.2877568910205963,0.6220110962400447,0.2766964113924683,0.6199335714053918,0.4269727494903362,0.8785458635442003,0.6482191549673064,0.382367144851558,0.292655388759292,0.2360480689849849,0.8534816107903845,0.2487544004225476,0.6996715432362706,0.0105943460476674,0.0015454454043677,0.0,0.4426671613863331,0.3193178348671873,0.1823529411764698,0.1581821825834255,0.1617850877481029,0.3800119323256712,0.5691130481446878,0.0,0.2746839605011984,0.0533913968430339,0.1456625170451579,0.777777777777778,0.02,0.2566171388194924,0.0,0.2618489125726382,0.492955253595428,0.1708773671891632,0.3102907606537,0.3240555507978249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=CNc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(P(=O)(c4ccccc4)c4cccc(N5C(=O)c6ccccc6C5=O)c4)c2)C3=O)n1,156.0,156.0,156.0,0.1729816180265752,0.6865608656068957,0.4432146401170977,0.3608559591035867,0.2947739105154507,0.507075808478781,0.5436156630226766,0.5721175887636402,0.3282693709152023,0.4602378004289752,0.3608719488695113,0.4258895740876343,0.5399313358455693,0.4686803150732627,0.3426805789690073,0.7378832132090202,0.331351886612449,0.6561562165265842,0.4208001172145884,0.778330771979385,0.6160593313389253,0.3587271201214765,0.2714911622391023,0.2548403975892463,0.7390559938790907,0.2118911679440484,0.6999062020100428,0.0111056506469675,0.0043456390470328,0.0,0.3436348521674733,0.4370358093078036,0.2296296296296296,0.3168969651082102,0.0553475300190882,0.2922361048447118,0.2506462686473586,0.1421860173054295,0.3257442858798432,0.0533913968430339,0.1820781463064473,0.5000000000000003,0.0,0.3708515983365025,0.0,0.2423320162180564,0.5084463630963219,0.2301982682896216,0.3526711382280904,0.3792924446655167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=CNc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc2)C3=O)c1,311.0,311.0,311.0,0.1487088263890669,0.6864389556739302,0.5391784429283608,0.4511612869894179,0.2891066600774294,0.5200246389760773,0.5436166256016038,0.5215714946337026,0.2707055884033096,0.3349992568710157,0.2272387368789938,0.437329980983989,0.6167116152465751,0.4472875631908666,0.1911944191156196,0.852605915796661,0.4482900709513067,0.5113882397409159,0.3151202720745411,0.6740577414006554,0.6618524935821462,0.3369170227104836,0.183374045295949,0.2077069583659052,0.5215309052683131,0.1610113838442145,0.6993612315694495,0.0223073789158852,0.0015357951258252,0.0,0.3940331691723107,0.5068073201278595,0.2530612244897959,0.4190800681431003,0.1995629251392474,0.2044602773637524,0.1976760526489964,0.0,0.3609233877348301,0.0533913968430339,0.4005719218741841,0.2222222222222223,0.0,0.2558321669477907,0.0,0.2374277704674179,0.5206161603672397,0.4499634359003216,0.3855658878224666,0.5718237189611672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=CNc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(Oc6ccc(N7C(=O)c8ccccc8C7=O)cc6)cccc45)cc2)C3=O)c1,263.0,263.0,263.0,0.1888803461275798,0.640202003717197,0.5173495353437549,0.3725092126070999,0.3307784980110746,0.5695072538519493,0.481046145547813,0.5783956215019647,0.4499636485358132,0.4032885390359643,0.320501305461,0.3177953411235131,0.7854221967152533,0.3809168589728609,0.2328432471689139,0.8561814916042679,0.3086257220689364,0.4775993277064984,0.4327696279812315,0.6467924476564644,0.4971719562346741,0.3390042620671891,0.2624277012842642,0.1351886911965912,0.351993160702163,0.1267124908104318,0.7000821441551484,0.9623710230995272,0.0015407799150555,0.0,0.2468317651732484,0.5572090561058954,0.4275862068965514,0.4383481172531294,0.1235665786472662,0.3866191679087428,0.3233949637717416,0.0,0.2746839605011984,0.1120818728551571,0.1092468877838684,0.4444444444444448,0.12,0.2560257588309383,0.0,0.2516734366954631,0.3369099009441415,0.4677499071277454,0.2515638359780329,0.2633675643838581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
